Alloy,Series,Temper,Form,Processing,Al_wt,Cu_wt,Fe_wt,Mg_wt,Mn_wt,Si_wt,Ti_wt,Zn_wt,Cr_wt,Others_wt,Density_g_cm3,UTS_MPa,YS_MPa,Elongation_pct,Hardness_HB,Modulus_GPa,Source
3003,3xxx,H12,Sheet,Wrought,98.6,0.12,0.7,0.0,1.2,0.6,0.0,0.1,0.0,0.05,2.73,131,117,10.0,35,69.0,[2]
3003,3xxx,H14,Sheet,Wrought,98.6,0.12,0.7,0.0,1.2,0.6,0.0,0.1,0.0,0.05,2.73,152,145,8.0,40,69.0,[2]
3003,3xxx,H18,Sheet,Wrought,98.6,0.12,0.7,0.0,1.2,0.6,0.0,0.1,0.0,0.05,2.73,200,186,4.0,55,69.0,[2]
3004,3xxx,O,Sheet,Wrought,97.2,0.25,0.7,1.0,1.2,0.3,0.0,0.25,0.0,0.05,2.72,179,69,20.0,45,69.0,[2]
3004,3xxx,H34,Sheet,Wrought,97.2,0.25,0.7,1.0,1.2,0.3,0.0,0.25,0.0,0.05,2.72,241,200,9.0,63,69.0,[2]
3004,3xxx,H38,Sheet,Wrought,97.2,0.25,0.7,1.0,1.2,0.3,0.0,0.25,0.0,0.05,2.72,283,248,5.0,77,69.0,[2]
3105,3xxx,O,Sheet,Wrought,98.3,0.3,0.7,0.5,0.55,0.6,0.1,0.4,0.2,0.05,2.72,117,55,24.0,32,69.0,[2]
3105,3xxx,H25,Sheet,Wrought,98.3,0.3,0.7,0.5,0.55,0.6,0.1,0.4,0.2,0.05,2.72,179,159,8.0,52,69.0,[2]
4032,4xxx,T6,Forging,Wrought,85.0,0.9,1.0,1.0,0.0,12.2,0.0,0.25,0.1,0.05,2.68,379,317,9.0,120,79.0,[2]
4032,4xxx,O,Forging,Wrought,85.0,0.9,1.0,1.0,0.0,12.2,0.0,0.25,0.1,0.05,2.68,179,100,17.0,55,79.0,[2]
4043,4xxx,O,Wire,Wrought,94.2,0.3,0.8,0.05,0.05,5.2,0.2,0.1,0.0,0.05,2.69,145,70,22.0,35,70.0,[2]
4043,4xxx,H18,Wire,Wrought,94.2,0.3,0.8,0.05,0.05,5.2,0.2,0.1,0.0,0.05,2.69,283,269,1.0,84,70.0,[2]
5005,5xxx,O,Sheet,Wrought,99.2,0.2,0.7,0.8,0.2,0.3,0.0,0.25,0.1,0.05,2.7,124,41,25.0,28,69.0,"[1]p146,[2]"
5005,5xxx,H34,Sheet,Wrought,99.2,0.2,0.7,0.8,0.2,0.3,0.0,0.25,0.1,0.05,2.7,159,138,8.0,41,69.0,[2]
5005,5xxx,H38,Sheet,Wrought,99.2,0.2,0.7,0.8,0.2,0.3,0.0,0.25,0.1,0.05,2.7,200,186,4.0,51,69.0,[2]
5052,5xxx,O,Sheet,Wrought,97.2,0.1,0.4,2.5,0.1,0.25,0.0,0.1,0.25,0.05,2.68,193,89,25.0,47,70.3,"[2],[3]"
5052,5xxx,H32,Sheet,Wrought,97.2,0.1,0.4,2.5,0.1,0.25,0.0,0.1,0.25,0.05,2.68,228,193,12.0,60,70.3,[2]
5052,5xxx,H34,Sheet,Wrought,97.2,0.1,0.4,2.5,0.1,0.25,0.0,0.1,0.25,0.05,2.68,262,214,10.0,68,70.3,"[2],[3]"
5052,5xxx,H36,Sheet,Wrought,97.2,0.1,0.4,2.5,0.1,0.25,0.0,0.1,0.25,0.05,2.68,276,241,8.0,73,70.3,[2]
5052,5xxx,H38,Sheet,Wrought,97.2,0.1,0.4,2.5,0.1,0.25,0.0,0.1,0.25,0.05,2.68,290,255,7.0,77,70.3,[2]
5083,5xxx,O,Plate,Wrought,94.2,0.1,0.4,4.4,0.7,0.4,0.15,0.25,0.15,0.05,2.66,290,145,22.0,67,71.0,"[2],[3]"
5083,5xxx,H116,Plate,Wrought,94.2,0.1,0.4,4.4,0.7,0.4,0.15,0.25,0.15,0.05,2.66,317,228,16.0,75,71.0,[2]
5083,5xxx,H321,Sheet,Wrought,94.2,0.1,0.4,4.4,0.7,0.4,0.15,0.25,0.15,0.05,2.66,317,228,16.0,75,71.0,[2]
5086,5xxx,O,Sheet,Wrought,95.4,0.1,0.5,4.0,0.45,0.4,0.15,0.25,0.15,0.05,2.66,262,117,22.0,62,71.0,[2]
5086,5xxx,H34,Sheet,Wrought,95.4,0.1,0.5,4.0,0.45,0.4,0.15,0.25,0.15,0.05,2.66,324,255,10.0,82,71.0,[2]
5154,5xxx,O,Sheet,Wrought,96.2,0.1,0.4,3.5,0.1,0.25,0.2,0.2,0.25,0.05,2.66,241,117,27.0,58,70.3,[2]
5154,5xxx,H34,Sheet,Wrought,96.2,0.1,0.4,3.5,0.1,0.25,0.2,0.2,0.25,0.05,2.66,290,228,13.0,73,70.3,[2]
5182,5xxx,O,Sheet,Wrought,95.2,0.15,0.35,4.5,0.35,0.2,0.1,0.25,0.1,0.05,2.65,276,131,23.0,67,71.0,[2]
5251,5xxx,O,Sheet,Wrought,97.6,0.15,0.5,2.0,0.1,0.4,0.15,0.15,0.15,0.05,2.69,180,80,23.0,46,70.0,[2]
5251,5xxx,H34,Sheet,Wrought,97.6,0.15,0.5,2.0,0.1,0.4,0.15,0.15,0.15,0.05,2.69,230,180,10.0,63,70.0,[2]
5454,5xxx,O,Sheet,Wrought,96.0,0.1,0.4,2.7,0.8,0.25,0.2,0.25,0.12,0.05,2.69,248,117,22.0,62,70.3,[2]
5454,5xxx,H34,Sheet,Wrought,96.0,0.1,0.4,2.7,0.8,0.25,0.2,0.25,0.12,0.05,2.69,303,241,10.0,81,70.3,[2]
5456,5xxx,O,Plate,Wrought,93.6,0.1,0.4,5.1,0.8,0.25,0.2,0.25,0.12,0.05,2.66,310,159,24.0,70,71.0,[2]
5456,5xxx,H116,Plate,Wrought,93.6,0.1,0.4,5.1,0.8,0.25,0.2,0.25,0.12,0.05,2.66,352,255,16.0,90,71.0,[2]
5754,5xxx,O,Sheet,Wrought,96.6,0.1,0.4,3.1,0.5,0.4,0.15,0.2,0.3,0.05,2.67,220,100,26.0,52,70.0,"[1]p147,[2]"
5754,5xxx,H111,Sheet,Wrought,96.6,0.1,0.4,3.1,0.5,0.4,0.15,0.2,0.3,0.05,2.67,250,180,14.0,65,70.0,[1]p147
6005,6xxx,T5,Extrusion,Wrought,97.9,0.1,0.35,0.5,0.1,0.8,0.1,0.1,0.1,0.05,2.7,262,241,8.0,75,69.0,[2]
6060,6xxx,T5,Extrusion,Wrought,98.5,0.1,0.2,0.5,0.1,0.4,0.1,0.15,0.05,0.05,2.7,195,150,12.0,60,69.0,[2]
6060,6xxx,T6,Extrusion,Wrought,98.5,0.1,0.2,0.5,0.1,0.4,0.1,0.15,0.05,0.05,2.7,215,175,10.0,65,69.0,[2]
6061,6xxx,O,Sheet,Wrought,97.9,0.28,0.7,1.0,0.15,0.6,0.15,0.25,0.2,0.05,2.7,124,55,25.0,30,69.0,"[2],[3]"
6061,6xxx,T4,Sheet,Wrought,97.9,0.28,0.7,1.0,0.15,0.6,0.15,0.25,0.2,0.05,2.7,241,145,22.0,65,69.0,"[2],[3]"
6061,6xxx,T6,Sheet,Wrought,97.9,0.28,0.7,1.0,0.15,0.6,0.15,0.25,0.2,0.05,2.7,310,276,12.0,95,69.0,"[2],[3]"
6061,6xxx,T6,Extrusion,Wrought,97.9,0.28,0.7,1.0,0.15,0.6,0.15,0.25,0.2,0.05,2.7,310,276,12.0,95,69.0,[2]
6061,6xxx,T651,Plate,Wrought,97.9,0.28,0.7,1.0,0.15,0.6,0.15,0.25,0.2,0.05,2.7,310,276,12.0,95,69.0,[2]
6061,6xxx,T6,Forging,Forged,97.9,0.28,0.7,1.0,0.15,0.6,0.15,0.25,0.2,0.05,2.7,310,276,12.0,95,69.0,[2]
6063,6xxx,O,Extrusion,Wrought,98.9,0.1,0.35,0.7,0.1,0.4,0.1,0.1,0.1,0.05,2.7,90,48,25.0,25,69.0,[2]
6063,6xxx,T1,Extrusion,Wrought,98.9,0.1,0.35,0.7,0.1,0.4,0.1,0.1,0.1,0.05,2.7,152,90,20.0,42,69.0,[2]
6063,6xxx,T4,Extrusion,Wrought,98.9,0.1,0.35,0.7,0.1,0.4,0.1,0.1,0.1,0.05,2.7,172,90,22.0,52,69.0,[2]
6063,6xxx,T5,Extrusion,Wrought,98.9,0.1,0.35,0.7,0.1,0.4,0.1,0.1,0.1,0.05,2.7,186,145,12.0,60,69.0,[2]
6063,6xxx,T6,Extrusion,Wrought,98.9,0.1,0.35,0.7,0.1,0.4,0.1,0.1,0.1,0.05,2.7,241,214,12.0,73,69.0,"[2],[3]"
6063,6xxx,T83,Extrusion,Wrought,98.9,0.1,0.35,0.7,0.1,0.4,0.1,0.1,0.1,0.05,2.7,255,241,9.0,82,69.0,[2]
6082,6xxx,O,Plate,Wrought,97.5,0.1,0.5,0.9,0.7,1.0,0.1,0.2,0.25,0.05,2.71,130,60,27.0,35,69.0,[2]
6082,6xxx,T4,Sheet,Wrought,97.5,0.1,0.5,0.9,0.7,1.0,0.1,0.2,0.25,0.05,2.71,260,170,19.0,75,69.0,[2]
6082,6xxx,T6,Extrusion,Wrought,97.5,0.1,0.5,0.9,0.7,1.0,0.1,0.2,0.25,0.05,2.71,310,260,10.0,95,69.0,"[1]p148,[2]"
6082,6xxx,T651,Plate,Wrought,97.5,0.1,0.5,0.9,0.7,1.0,0.1,0.2,0.25,0.05,2.71,310,260,10.0,90,69.0,[2]
6101,6xxx,T6,Bar,Wrought,98.8,0.1,0.5,0.6,0.03,0.5,0.0,0.1,0.03,0.05,2.7,221,193,15.0,71,69.0,[2]
6111,6xxx,T4,Sheet,Wrought,97.5,0.7,0.4,0.7,0.3,0.8,0.1,0.15,0.1,0.05,2.71,290,165,26.0,80,69.0,[2]
6262,6xxx,T9,Bar,Wrought,96.8,0.28,0.7,1.0,0.15,0.6,0.15,0.25,0.09,1.1,2.72,400,379,10.0,120,69.0,[2]
6351,6xxx,T6,Extrusion,Wrought,97.3,0.1,0.5,0.6,0.6,1.0,0.2,0.2,0.0,0.05,2.71,310,283,14.0,95,69.0,[2]
7005,7xxx,T53,Extrusion,Wrought,92.8,0.1,0.4,1.4,0.45,0.35,0.04,4.5,0.13,0.05,2.78,393,345,15.0,100,72.0,[2]
7020,7xxx,T6,Plate,Wrought,92.3,0.2,0.4,1.2,0.3,0.35,0.0,4.5,0.2,0.05,2.78,370,310,10.0,105,72.0,"[1]p147,[2]"
7049,7xxx,T73,Forging,Forged,88.2,1.6,0.35,2.4,0.2,0.25,0.1,7.7,0.16,0.05,2.84,524,462,11.0,135,72.4,[2]
7050,7xxx,T7451,Plate,Wrought,89.0,2.3,0.15,2.2,0.1,0.12,0.06,6.2,0.04,0.05,2.83,510,448,11.0,140,71.7,[2]
7050,7xxx,T7651,Plate,Wrought,89.0,2.3,0.15,2.2,0.1,0.12,0.06,6.2,0.04,0.05,2.83,524,462,11.0,140,71.7,[2]
7075,7xxx,O,Sheet,Wrought,90.0,1.6,0.5,2.5,0.3,0.4,0.2,5.6,0.23,0.05,2.81,228,103,17.0,60,71.7,"[2],[3]"
7075,7xxx,T6,Sheet,Wrought,90.0,1.6,0.5,2.5,0.3,0.4,0.2,5.6,0.23,0.05,2.81,572,503,11.0,150,71.7,"[2],[3]"
7075,7xxx,T6,Extrusion,Wrought,90.0,1.6,0.5,2.5,0.3,0.4,0.2,5.6,0.23,0.05,2.81,572,503,11.0,150,71.7,[2]
7075,7xxx,T651,Plate,Wrought,90.0,1.6,0.5,2.5,0.3,0.4,0.2,5.6,0.23,0.05,2.81,572,503,11.0,150,71.7,[2]
7075,7xxx,T73,Sheet,Wrought,90.0,1.6,0.5,2.5,0.3,0.4,0.2,5.6,0.23,0.05,2.81,503,434,13.0,135,71.7,[2]
7075,7xxx,T76,Sheet,Wrought,90.0,1.6,0.5,2.5,0.3,0.4,0.2,5.6,0.23,0.05,2.81,538,469,12.0,142,71.7,[2]
7150,7xxx,T77511,Extrusion,Wrought,89.6,2.0,0.15,2.2,0.1,0.12,0.04,6.4,0.04,0.05,2.82,572,517,10.0,152,71.7,[2]
7175,7xxx,T66,Forging,Forged,90.0,1.6,0.2,2.5,0.1,0.15,0.1,5.6,0.23,0.05,2.8,524,455,11.0,143,72.0,[2]
7175,7xxx,T736,Forging,Forged,90.0,1.6,0.2,2.5,0.1,0.15,0.1,5.6,0.23,0.05,2.8,490,421,11.0,135,72.0,[2]
7178,7xxx,T6,Sheet,Wrought,88.5,2.0,0.5,2.8,0.3,0.4,0.2,6.8,0.28,0.05,2.83,607,538,10.0,160,72.4,[2]
7178,7xxx,T76,Sheet,Wrought,88.5,2.0,0.5,2.8,0.3,0.4,0.2,6.8,0.28,0.05,2.83,559,490,11.0,148,72.4,[2]
7475,7xxx,T61,Sheet,Wrought,90.0,1.5,0.12,2.25,0.06,0.1,0.06,5.7,0.22,0.05,2.81,565,490,12.0,148,70.3,[2]
7475,7xxx,T761,Sheet,Wrought,90.0,1.5,0.12,2.25,0.06,0.1,0.06,5.7,0.22,0.05,2.81,517,448,13.0,135,70.3,[2]
8011,8xxx,O,Foil,Wrought,98.3,0.1,0.7,0.0,0.0,0.6,0.0,0.1,0.0,0.05,2.71,97,41,28.0,20,69.0,[2]
8090,8xxx,T651,Plate,Wrought,94.6,1.3,0.3,0.95,0.1,0.2,0.1,0.25,0.1,2.4,2.55,480,400,8.0,130,80.0,[2]
8090,8xxx,T8771,Sheet,Wrought,94.6,1.3,0.3,0.95,0.1,0.2,0.1,0.25,0.1,2.4,2.55,500,420,6.0,135,80.0,[2]
A356.0,Cast,T6,Casting,Cast,92.0,0.2,0.2,0.35,0.1,7.0,0.2,0.1,0.0,0.05,2.68,262,186,5.0,80,72.4,[2]
A356.0,Cast,T61,Casting,Cast,92.0,0.2,0.2,0.35,0.1,7.0,0.2,0.1,0.0,0.05,2.68,283,207,10.0,85,72.4,[2]
319.0,Cast,T6,Casting,Cast,86.5,3.5,1.0,0.1,0.5,6.0,0.25,1.0,0.0,0.05,2.79,248,165,2.0,80,74.0,[2]
319.0,Cast,F,Casting,Cast,86.5,3.5,1.0,0.1,0.5,6.0,0.25,1.0,0.0,0.05,2.79,186,124,2.0,70,74.0,[2]
356.0,Cast,T6,Casting,Cast,92.0,0.25,0.6,0.33,0.35,7.0,0.25,0.35,0.0,0.05,2.68,228,165,3.5,70,72.4,[2]
356.0,Cast,T7,Casting,Cast,92.0,0.25,0.6,0.33,0.35,7.0,0.25,0.35,0.0,0.05,2.68,235,207,2.0,75,72.4,[2]
A380.0,Cast,F,Casting,Die Cast,83.5,3.5,1.3,0.1,0.5,8.5,0.0,3.0,0.0,0.05,2.74,331,159,3.5,80,71.0,[2]
A413.0,Cast,F,Casting,Die Cast,87.5,1.0,1.3,0.1,0.35,12.0,0.0,0.5,0.0,0.05,2.66,296,131,2.5,80,71.0,[2]
242.0,Cast,T571,Casting,Cast,93.5,4.0,1.0,1.5,0.35,0.7,0.25,0.35,0.25,0.05,2.82,207,172,2.0,105,71.0,[2]
242.0,Cast,T61,Casting,Cast,93.5,4.0,1.0,1.5,0.35,0.7,0.25,0.35,0.25,0.05,2.82,324,290,0.5,110,71.0,[2]
535.0,Cast,F,Casting,Cast,93.0,0.05,0.15,6.9,0.15,0.15,0.18,0.0,0.0,0.05,2.62,248,124,9.0,65,71.0,[2]
712.0,Cast,F,Casting,Cast,92.9,0.25,0.5,0.6,0.1,0.3,0.2,5.8,0.5,0.05,2.81,241,172,5.0,75,71.0,[2]
